RK,Name,Team,P,G
1.0,Erling Haaland,Manchester City,22,18
2.0,Ollie Watkins,Aston Villa,27,16
3.0,Mohamed Salah,Liverpool,21,15
4.0,Jarrod Bowen,West Ham United,26,14
,Dominic Solanke,AFC Bournemouth,26,14
6.0,Bukayo Saka,Arsenal,25,13
,Son Heung-Min,Tottenham Hotspur,23,13
8.0,Phil Foden,Manchester City,27,11
,Alexander Isak,Newcastle United,19,11
10.0,Darwin Núñez,Liverpool,25,10
,Cole Palmer,Chelsea,23,10
,Hwang Hee-Chan,Wolverhampton Wanderers,22,10
,Richarlison,Tottenham Hotspur,22,10
14.0,Douglas Luiz,Aston Villa,26,9
,Anthony Gordon,Newcastle United,26,9
,Matheus Cunha,Wolverhampton Wanderers,24,9
,Elijah Adebayo,Luton Town,23,9
,Diogo Jota,Liverpool,19,9
19.0,Julián Álvarez,Manchester City,27,8
,Carlton Morris,Luton Town,26,8
,Leon Bailey,Aston Villa,25,8
,Nicolas Jackson,Chelsea,23,8
,João Pedro,Brighton & Hove Albion,23,8
,Chris Wood,Nottingham Forest,20,8
25.0,Scott McTominay,Manchester United,24,7
,Leandro Trossard,Arsenal,22,7
,Rasmus Højlund,Manchester United,20,7
,Callum Wilson,Newcastle United,16,7
,Bryan Mbeumo,Brentford,15,7
30.0,John McGinn,Aston Villa,27,6
,Tomás Soucek,West Ham United,26,6
,Marcus Rashford,Manchester United,26,6
,Luis Díaz,Liverpool,26,6
,Kai Havertz,Arsenal,25,6
,Evan Ferguson,Brighton & Hove Albion,25,6
,Rodri,Manchester City,24,6
,Dejan Kulusevski,Tottenham Hotspur,24,6
,Raheem Sterling,Chelsea,24,6
,Neal Maupay,Brentford,24,6
,Bernardo Silva,Manchester City,23,6
,Yoane Wissa,Brentford,23,6
,Mohammed Kudus,West Ham United,22,6
,Abdoulaye Doucouré,Everton,21,6
,Odsonne Édouard,Crystal Palace,21,6
,Simon Adingra,Brighton & Hove Albion,20,6
,Eberechi Eze,Crystal Palace,17,6
,Taiwo Awoniyi,Nottingham Forest,16,6
,Michael Olise,Crystal Palace,11,6
49.0,James Ward-Prowse,West Ham United,26,5
,Anthony Elanga,Nottingham Forest,26,5
