2023-2024,GP,W,D,L,F,A,GD,P
1LIVLiverpool,27,19,6,2,64,25,39,63
2MNCManchester City,27,19,5,3,62,27,35,62
3ARSArsenal,26,18,4,4,62,23,39,58
4AVLAston Villa,27,17,4,6,59,37,22,55
5TOTTottenham Hotspur,26,15,5,6,55,39,16,50
6MANManchester United,27,14,2,11,37,39,-2,44
7WHUWest Ham United,27,12,6,9,43,47,-4,42
8NEWNewcastle United,27,12,4,11,57,45,12,40
9BHABrighton & Hove Albion,27,10,9,8,49,44,5,39
10WOLWolverhampton Wanderers,27,11,5,11,40,43,-3,38
11CHEChelsea,26,10,6,10,44,43,1,36
12FULFulham,27,10,5,12,39,42,-3,35
13BOUAFC Bournemouth,26,8,7,11,35,47,-12,31
14CRYCrystal Palace,27,7,7,13,32,47,-15,28
15BREBrentford,27,7,5,15,39,50,-11,26
16EVEEverton,27,8,7,12,29,37,-8,25
17NFONottingham Forest,27,6,6,15,34,49,-15,24
18LTNLuton Town,26,5,5,16,37,54,-17,20
19BURBurnley,27,3,4,20,25,60,-35,13
20SHUSheffield United,26,3,4,19,22,66,-44,13
