PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1628369,1,Jayson Tatum,1610612738,BOS,74,2732,727,1559,0.466,240,686,0.35,531,622,0.854,78,571,649,342,78,51,213,160,2225,2209,1.61,0.37
203954,2,Joel Embiid,1610612755,PHI,66,2284,728,1328,0.548,66,200,0.33,661,771,0.857,113,557,670,274,66,112,226,205,2183,2369,1.21,0.29
1629029,3,Luka Doncic,1610612742,DAL,66,2391,719,1449,0.496,185,541,0.342,515,694,0.742,54,515,569,529,90,33,236,166,2138,2214,2.24,0.38
1628983,4,Shai Gilgeous-Alexander,1610612760,OKC,68,2416,704,1381,0.51,58,168,0.345,669,739,0.905,59,270,329,371,112,65,192,192,2135,2073,1.93,0.58
203507,5,Giannis Antetokounmpo,1610612749,MIL,63,2024,707,1278,0.553,47,171,0.275,498,772,0.645,137,605,742,359,52,51,246,197,1959,2072,1.46,0.21
1630162,6,Anthony Edwards,1610612750,MIN,79,2841,707,1541,0.459,213,578,0.369,319,422,0.756,47,411,458,350,125,58,259,186,1946,1741,1.35,0.48
203944,7,Julius Randle,1610612752,NYK,77,2737,658,1432,0.459,218,636,0.343,402,531,0.757,141,626,767,316,49,21,216,233,1936,1970,1.46,0.23
1628378,8,Donovan Mitchell,1610612739,CLE,68,2432,679,1402,0.484,245,635,0.386,319,368,0.867,63,226,289,301,99,27,180,168,1922,1686,1.67,0.55
1629027,9,Trae Young,1610612737,ATL,73,2541,597,1390,0.429,154,460,0.335,566,639,0.886,56,161,217,741,80,9,300,104,1914,1795,2.47,0.27
203897,10,Zach LaVine,1610612741,CHI,77,2768,673,1388,0.485,204,544,0.375,363,428,0.848,42,303,345,327,69,18,194,159,1913,1698,1.69,0.36
203081,11,Damian Lillard,1610612757,POR,58,2107,556,1202,0.463,244,658,0.371,510,558,0.914,44,233,277,425,50,18,191,109,1866,1751,2.23,0.26
1628368,12,De'Aaron Fox,1610612758,SAC,73,2435,682,1331,0.512,119,367,0.324,343,440,0.78,40,266,306,447,83,23,181,172,1826,1758,2.47,0.46
201942,13,DeMar DeRozan,1610612741,CHI,74,2682,657,1303,0.504,46,142,0.324,456,523,0.872,34,309,343,377,83,36,153,186,1816,1789,2.46,0.54
1627759,14,Jaylen Brown,1610612738,BOS,67,2405,679,1383,0.491,163,487,0.335,263,344,0.765,78,381,459,232,75,26,197,172,1784,1594,1.18,0.38
1627783,15,Pascal Siakam,1610612761,TOR,71,2652,630,1313,0.48,93,287,0.324,367,474,0.774,131,425,556,415,65,36,169,228,1720,1833,2.46,0.39
1628374,16,Lauri Markkanen,1610612762,UTA,66,2272,571,1145,0.499,200,511,0.391,349,399,0.875,130,440,570,123,42,38,127,137,1691,1713,0.97,0.33
203999,17,Nikola Jokic,1610612743,DEN,69,2323,646,1022,0.632,57,149,0.383,341,415,0.822,167,650,817,678,87,47,247,174,1690,2622,2.75,0.35
1630224,18,Jalen Green,1610612745,HOU,76,2602,566,1359,0.416,187,554,0.338,364,463,0.786,43,241,284,281,59,18,200,131,1683,1233,1.41,0.29
1629673,19,Jordan Poole,1610612744,GSW,82,2458,550,1278,0.43,214,637,0.336,361,415,0.87,32,193,225,369,63,21,252,214,1675,1319,1.46,0.25
1628969,20,Mikal Bridges,1610612751,BKN,83,2963,593,1267,0.468,169,442,0.382,316,353,0.895,79,285,364,273,91,61,127,159,1671,1622,2.15,0.72
201939,21,Stephen Curry,1610612744,GSW,56,1941,559,1133,0.493,273,639,0.427,257,281,0.915,39,302,341,352,52,20,179,117,1648,1636,1.97,0.29
1628973,22,Jalen Brunson,1610612752,NYK,68,2379,587,1195,0.491,134,322,0.416,325,392,0.829,40,201,241,421,61,15,142,152,1633,1554,2.96,0.43
202681,23,Kyrie Irving,1610612742,DAL,60,2241,594,1203,0.494,188,496,0.379,247,273,0.905,59,245,304,331,66,45,128,165,1623,1606,2.59,0.52
1629630,24,Ja Morant,1610612763,MEM,61,1948,566,1214,0.466,92,300,0.307,372,497,0.748,61,296,357,493,66,16,206,100,1596,1549,2.39,0.32
2544,25,LeBron James,1610612747,LAL,55,1954,609,1219,0.5,121,377,0.321,251,327,0.768,65,392,457,375,50,32,178,88,1590,1640,2.11,0.28
203468,26,CJ McCollum,1610612740,NOP,75,2649,587,1344,0.437,211,543,0.389,183,238,0.769,55,273,328,429,70,38,183,153,1568,1438,2.34,0.38
1628389,27,Bam Adebayo,1610612748,MIA,75,2598,602,1114,0.54,1,12,0.083,324,402,0.806,184,504,688,240,88,61,187,208,1529,1829,1.28,0.47
1627749,28,Dejounte Murray,1610612737,ATL,74,2693,612,1319,0.464,133,387,0.344,158,190,0.832,53,336,389,448,112,19,160,106,1515,1584,2.8,0.7
1627734,29,Domantas Sabonis,1610612758,SAC,79,2736,577,938,0.615,31,83,0.373,325,438,0.742,251,722,973,573,65,39,230,279,1510,2456,2.49,0.28
202691,30,Klay Thompson,1610612744,GSW,69,2279,546,1252,0.436,301,731,0.412,116,132,0.879,39,247,286,163,49,29,123,130,1509,1191,1.32,0.4
