World rank,Name,Net worth (USD),Source of wealth,Net worth
33,David Thomson & family,US$41.8 billion,Media,41800000000.0
189,Joseph Tsai,US$11.6 billion,E-commerce,11600000000.0
232,Tobi Lutke,US$9.8 billion,E-commerce,9800000000.0
241,Jim Pattison,US$9.6 billion,Diversified,9600000000.0
269,David Cheriton,US$8.8 billion,Google,8800000000.0
274,Anthony von Mandl,US$8.7 billion,Alcoholic beverages,8700000000.0
297,Pan Dong,US$8.3 billion,Consumer goods,8300000000.000001
384,Huang Chulong,US$6.8 billion,Real estate,6800000000.0
486,Lino Saputo & family,US$5.7 billion,Cheese,5700000000.0
574,Mark Scheinberg,US$4.9 billion,Online gambling,4900000000.0
574,Chip Wilson,US$4.9 billion,Lululemon,4900000000.0
655,Garrett Camp,US$4.4 billion,Uber,4400000000.0
680,Alain Bouchard,US$4.2 billion,Retail,4200000000.0
680,James K. Irving,US$4.2 billion,Diversified,4200000000.0
807,Peter Gilgan,US$3.7 billion,Homebuilding,3700000000.0
831,Daryl Katz,US$3.6 billion,Pharmacies,3600000000.0
831,Yuan Liping,US$3.6 billion,Pharmaceuticals,3600000000.0
859,Apoorva Mehta,US$3.5 billion,Grocery delivery service,3500000000.0
956,Carlo Fidani,US$3.2 billion,Real estate,3200000000.0
956,Lawrence Stroll,US$3.2 billion,Fashion and retail,3200000000.0
1064,Bob Gaglardi,US$2.9 billion,Hotels,2900000000.0
1111,Jean Coutu & family,US$2.8 billion,Drugstores,2800000000.0
1174,Mitchell Goldhar,US$2.7 billion,Real estate,2700000000.0
1205,Bruce Flatt,US$2.6 billion,Money management,2600000000.0
1205,Hal Jackman,US$2.6 billion,Insurance and investments,2600000000.0
1205,Stephen Smith,US$2.6 billion,Finance and investments,2600000000.0
1249,Charles Bronfman,US$2.5 billion,Liquor,2500000000.0
1299,Zhang Ning & family,US$2.4 billion,Chemicals,2400000000.0
1362,Barry Zekelman,US$2.3 billion,Steel,2300000000.0
1444,Serge Godin,US$2.2 billion,Information technology,2200000000.0
1444,Catherine Phillips,US$2.2 billion,Investments,2200000000.0
1444,John Phillips,US$2.2 billion,Investments,2200000000.0
1517,Jacques D'Amours,US$2.1 billion,Retail,2100000000.0
1517,Mark Leonard & family,US$2.1 billion,Software,2100000000.0
1580,Robert Miller,US$2 billion,Electronic components,2000000000.0
1580,Pierre Karl Péladeau,US$2 billion,Media,2000000000.0
1644,Arthur Irving,US$1.9 billion,Oil,1900000000.0
1750,Jack Cockwell,US$1.8 billion,"Real estate, private equity",1800000000.0
1750,N. Murray Edwards,US$1.8 billion,Oil and gas,1800000000.0
1750,Carl Hansen,US$1.8 billion,Biotech,1800000000.0
1750,Stephen Jarislowsky,US$1.8 billion,Money management,1800000000.0
1833,Stewart Butterfield,US$1.7 billion,Messaging software,1700000000.0
1833,Philip Fayer,US$1.7 billion,Online payment,1700000000.0
1833,Peter Szulczewski,US$1.7 billion,E-commerce,1700000000.0
1931,Ryan Cohen,US$1.6 billion,Investments,1600000000.0
1931,Michael Lee-Chin,US$1.6 billion,Mutual funds,1600000000.0
2141,Terry Matthews,US$1.4 billion,Telecom,1400000000.0
2141,Clayton Zekelman,US$1.4 billion,Steel,1400000000.0
2263,Brandt Louie,US$1.3 billion,Drugstores,1300000000.0
2263,Gerald Schwartz,US$1.3 billion,Finance,1300000000.0
2378,Guy Laliberté,US$1.2 billion,Cirque du Soleil,1200000000.0
2378,Bill Malhotra,US$1.2 billion,Real estate,1200000000.0
2378,Qiu Dongxu,US$1.2 billion,Pharmaceuticals,1200000000.0
2378,Dani Reiss,US$1.2 billion,Down jackets,1200000000.0
2378,Yu Xuefeng,US$1.2 billion,Pharmaceuticals,1200000000.0
2524,Alan Zekelman,US$1.2 billion,Steel,1200000000.0
2524,Naomi Azrieli,US$1.1 billion,Real estate,1100000000.0
2524,Sharon Azrieli,US$1.1 billion,Real estate,1100000000.0
2524,Richard Fortin,US$1.1 billion,Convenience stores,1100000000.0
2524,Zhao Tongtong,US$1.1 billion,Hotels,1100000000.0
2674,Ronnen Harary,US$1 billion,Toys,1000000000.0
2674,Mao Huihua,US$1 billion,Pharmaceuticals,1000000000.0
2674,Michael McCain,US$1 billion,Packaged meats,1000000000.0
2674,Anton Rabie,US$1 billion,Toys,1000000000.0
